name,price,condition,posted_time,seller_name,url,description
Avengers Thor Hammer Airpods 1  Cover,S$18,Like new,2 hours ago by,iloveminecraft_,https://www.carousell.sg/p/avengers-thor-hammer-airpods-1-cover-1256758687/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=19,None
Apple Airpods Gen 2,S$140,Brand new,2 hours ago by,vivizhang2004,https://www.carousell.sg/p/apple-airpods-gen-2-1267683467/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=20,Totally new!! Never open!!
[Receipt] airpods pro gen 2 type c,S$300,Brand new,2 hours ago by,pineapplesandwhatnot,https://www.carousell.sg/p/receipt-airpods-pro-gen-2-type-c-1267681425/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=22,"brand new official singtel receipt
sealed set unactivated

type c and magsafe"
Apple Airpods Gen 1,S$100,Lightly used,moments ago by,shez__,https://www.carousell.sg/p/apple-airpods-gen-1-1267707286/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=0,"- Comes with original box.
- Will throw in Spigen casing (as pictured) for free!"
Airpods Caáe for Airpods 1-2,S$5,Like new,4 hours ago by,ngocpham0569337,https://www.carousell.sg/p/airpods-caáe-for-airpods-1-2-1267657617/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=4,In good condition
New Airpods Pro Gen 1,S$75,Brand new,5 hours ago by,miras246,https://www.carousell.sg/p/new-airpods-pro-gen-1-1267651762/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=9,None
Apple Airpods Gen 3,S$200,Brand new,4 hours ago by,piggievin,https://www.carousell.sg/p/apple-airpods-gen-3-1267658654/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=2,Comes with MagSafe charging case and lightning to USB C cable. Sweat and water resistant.
New Apple AirPods Pro Gen 2 | AirPods Gen 3| AirPods Gen 2 | SG Local |,S$133,Brand new,3 hours ago by,legendpodz,https://www.carousell.sg/p/new-apple-airpods-pro-gen-2-airpods-gen-3-airpods-gen-2-sg-local-1267328390/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=30,"Feel Free to pm for more info

New Apple AirPods 3 With Magsafe Charging Case (MME73AM/A) $200‌ (Now $59.90)

New Apple AirPods Pro 2 With Magsafe Charging Case  (MWP22AM/A) $ 267 (Now $79.90)  *$49.90 version also avail

New Apple AirPods Gen 2 With Magsafe Charging Case (MRXJ2AM/A)  $133 ( Now $39.90)

New Apple AirPods Pro  With Magsafe Charging Case  (MAW52AM/A) $ 217 (Now $64.90)

1 month in house Warranty From Date of purchase"
Apple Airpods Pro Gen2 with Magsafe charging case & lightening,S$240,"S$10.00, within 2 working day(s)",2 hours ago by,robindragonian,https://www.carousell.sg/p/apple-airpods-pro-gen2-with-magsafe-charging-case-lightening-1267680130/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=26,AirPods Pro Gen 2 with Magsafe Charging Case (lightening)
ANC Airpods gen 3,S$55,Brand new,3 hours ago by,daniella123445,https://www.carousell.sg/p/anc-airpods-gen-3-1267669261/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=34,"Fast deal $55
Meetups at oasis lrt 
Brand new with box"
Airpods,S$120,Brand new,5 hours ago by,parthan579,https://www.carousell.sg/p/airpods-1267653760/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=7,Original Apple Airpods
"AirPods Pro’s (Gen 1,2) Bubble Tea Case",S$5,"S$2.00, within 4 working day(s)",4 hours ago by,jonsales,https://www.carousell.sg/p/airpods-pro’s-gen-1-2-bubble-tea-case-1267665866/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=36,"bubble tea cute AirPods Pro case from Malaysia. Bought but decided to sell due to new case from friend. Fairly new, but looks good. Includes hook to hook onto items."
air pods pro,S$170,Brand new,an hour ago by,an1qn1zz,https://www.carousell.sg/p/air-pods-pro-1267687224/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=17,None
Apple Airpods Gen 2,S$180,Lightly used,2 hours ago by,nicholmark57,https://www.carousell.sg/p/apple-airpods-gen-2-1266561504/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=23,"Comes with charging case and airpods.
No papers or box.
Sorry."
AirPods Pro Gen 2/1 / AirPods 3/2/1 Crystal Clear Case - Transparent TPU Shockproof Cover Casing,S$19.90,"S$3.00, within 4 working day(s)",moments ago by,starzandmo60088,https://www.carousell.sg/p/airpods-pro-gen-2-1-airpods-3-2-1-crystal-clear-case-transparent-tpu-shockproof-cover-casing-1267703644/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=3,"Model : 
AirPods Pro- 2nd Gen
AirPods Pro- 1st Gen
AirPods 3
AirPods 2/1

Type : 
Lucid Hybrid
Lucid Flex
Lucid Flex+Lanyard"
Airpods pro 2nd generation with Magsafe Charging case,S$308,Brand new,2 hours ago by,nettienette,https://www.carousell.sg/p/airpods-pro-2nd-generation-with-magsafe-charging-case-1263928700/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=29,None
"MagSafe iPhone, Apple Watch and AirPod Three In One Wireless Charger - Desktop Charger - Foldable Design - Portable - Elegant and Classy",S$38,Brand new,an hour ago by,broadlink,https://www.carousell.sg/p/magsafe-iphone-apple-watch-and-airpod-three-in-one-wireless-charger-desktop-charger-foldable-design-portable-elegant-and-classy-1255872281/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=14,"MagSafe Wireless charging stand for iPhone, Apple Watch and AirPods
* iPhone, Apple Watch, AirPod and Power Adapter not included *

Broadlink Experience Centre
186 Woodlands Industrial Park E5,
#04-01F, Singapore 757515
Tel: +65 6219 3483
Operating Hours
Tuesday - Sunday: 11am- 8pm
Mondays: Closed

Postage with tracking available at $2.80. Orders above $80 postage fee waived.

- Available in both Black and White
- Wireless charge all devices simultaneously
- Sleek foldable design, great for travelling
- Inbuilt Over current and voltage protection & Temperature and short circuit protection. Safely charge all your devices.

- Compatible with all Apple iPhone with MagSafe Charging e.g. iPhone 12 and above
- Compatible with all Apple Watch Series 2 and above
- Compatible with all AirPods that has a wireless charging case

Original package:
1x 3-in-1 Desktop Wireless Charging Stand
1x Type C Power Cable

Power adapter not included. Power adapter minimum power output 5V2A is required. Recommended 9V2A power adapter.

Specs:
Input: 5V-2A/9V-2A
Cell Phone Output 5W/7.5W/10W/15W
AirPods Output: 5W
Apple Watch Output: 3W
Charging efficiency: 70%
Quality Certification: CE, RoHS, FCC
Colour: Available in both Black and White

Warranty: 30 Days Limited Local Warranty
Other terms and conditions apply

All items are brand new in their original packaging.

Click here for full product list w prices and product summary in a simulated homehttps://sg.carousell.com/p/259168508or click on our profile picture to see them all - including discounted bundle dealshttps://carousell.sg/u/broadlinkTags:
#Magsafe Charger
#Apple Watch Accessories
#Airpods Accessories
#Apple Watch Stand
#Apple Watch Holder
#Apple Watch Mount
#Wireless Charger for travelling
#Electronic Gadgets
#Smart Gadgets
#Gifts for him
#Gifts for her"
Airpod Gen 3 case,S$8,Brand new,an hour ago by,missyenen,https://www.carousell.sg/p/airpod-gen-3-case-1267697026/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=7,Xiao Bai Airpro 3 Case
Apple AirPods Pro (PLUS APPLE CARE),S$180,Like new,moments ago by,angeluschan,https://www.carousell.sg/p/apple-airpods-pro-plus-apple-care-1256806812/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=2,None
AirPods Pro (2nd generation) with MagSafe Charging Case (USB-C),S$345,Brand new,2 hours ago by,cody12994,https://www.carousell.sg/p/airpods-pro-2nd-generation-with-magsafe-charging-case-usb-c-1267678284/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=27,None
Apple Airpods Gen 3 with Lightning Charging Case,,"Free delivery, within 4 working day(s)",4 hours ago by,spttn,https://www.carousell.sg/p/apple-airpods-gen-3-with-lightning-charging-case-1247957986/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=1,Got it free with my MacBook so am selling now
Apple AirPods (3rd Generation) With Lightning Charging Case,S$230,Like new,an hour ago by,hamkokkit,https://www.carousell.sg/p/apple-airpods-3rd-generation-with-lightning-charging-case-1256605941/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=11,"• Used once around 5 min to open checking warranty date, test sound and function is working well
• As good as new
• Warranty valid till 14/06/2024
• Comes with original box with Orignal Charging Cable
• Retail price : $261.40

Reason for selling : Won it as a Company lucky draw gift Because I also have AirPods Pro (2nd Generation)"
AirPods Max,S$650,Brand new,moments ago by,rickkbuss888,https://www.carousell.sg/p/airpods-max-1267704893/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=1,new sealed letting go cheap pm please
Apple Airpods Gen 3,S$195,Brand new,2 hours ago by,lmsao,https://www.carousell.sg/p/apple-airpods-gen-3-1267682991/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=21,"BNIB airpods gen 3 
got as a birthday but currently using the pros so selling away

seal is still on and check serial number irl if wan lc"
CASETiFY One Piece Dendenbug Golden Transponder Snail AirPods Pro Case,S$188,Brand new,4 hours ago by,noblemana,https://www.carousell.sg/p/casetify-one-piece-dendenbug-golden-transponder-snail-airpods-pro-case-1255941315/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=35,For AirPod pro 2
Apple Watch and AirPod Two In One Wireless Charger - Foldable Design - Portable - Elegant and Classy,S$28,Brand new,an hour ago by,broadlink,https://www.carousell.sg/p/apple-watch-and-airpod-two-in-one-wireless-charger-foldable-design-portable-elegant-and-classy-1255857486/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=13,"Wireless charging stand for Apple Watch and AirPods
* Apple Watch, AirPod and Power Adapter not included *

Broadlink Experience Centre
186 Woodlands Industrial Park E5,
#04-01F, Singapore 757515
Tel: +65 6219 3483
Operating Hours
Tuesday - Sunday: 11am- 8pm
Mondays: Closed

Postage with tracking available at $2.80. Orders above $80 postage fee waived.

- Available in both Black and White
- Wireless charge both devices simultaneously
- Sleek foldable design, great for travelling
- Compatible with all Apple Watch Series 2 and above
- Compatible with all AirPods that has a wireless charging case

Original package:
1x 2-in-1 Wireless Charging Stand
1x Type C Power Cable

Power adapter not included. Power adapter minimum power output 5V2A is required

Specs:
Input: 5V-2A
Output: 5W (AirPods)
Output: 3W (Apple Watch)
Charging efficiency: 80%
Quality Certification: CE, RoHS, FCC
Colour: Available in both Black and White

Warranty: 30 Days Limited Local Warranty
Other terms and conditions apply

All items are brand new in their original packaging.

Click here for full product list w prices and product summary in a simulated homehttps://sg.carousell.com/p/259168508or click on our profile picture to see them all - including discounted bundle dealshttps://carousell.sg/u/broadlinkTags:
#Apple Watch Accessories
#Airpods Accessories
#Apple Watch Stand
#Apple Watch Holder
#Apple Watch Mount
#Wireless Charger for travelling
#Electronic Gadgets
#Smart Gadgets
#Gifts for him
#Gifts for her"
3in1 Wireless Charger for iPhone/iWatch/Airpods/Hua Wei/Samsung,S$17,Like new,4 hours ago by,kayss,https://www.carousell.sg/p/3in1-wireless-charger-for-iphone-iwatch-airpods-hua-wei-samsung-1267662176/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=37,"Please refer to last picture for model compatibility

No box"
Apple AirPods Pro,S$200,Like new,5 hours ago by,javierrlowww,https://www.carousell.sg/p/apple-airpods-pro-1267649289/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=10,None
Airpods Pro Gen 2,S$230,Brand new,5 hours ago by,janiceng33,https://www.carousell.sg/p/airpods-pro-gen-2-1266612878/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=11,"Brand new Airpods Pro Gen 2
Sealed opened just to check condition
Box includes:
x1 MagSafe Charger for airpods gen 2
x1 One set of airpods
x1 USB C to Lightning
x1 3 Sizes eartip

Still under warranty till 30 Jan 2024"
Air up Flavour Pods,S$3,New,moments ago by,jeremyoby,https://www.carousell.sg/p/air-up-flavour-pods-1265060169/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=6,Air up flavour pods now in sg put it on a air up bottle and pull. The smell tricks ur brain into thinking that u are drinking flavoured water. Great for losing fat and gaming
AirPods Pro (gen 2),S$325,Brand new,4 hours ago by,x____w,https://www.carousell.sg/p/airpods-pro-gen-2-1267658022/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=3,"Brand new in box 

RTP $362, -10% 

PM if interested, free delivery"
Apple AirPods Pro (2nd Generation),S$300,Brand new,4 hours ago by,arrbez,https://www.carousell.sg/p/apple-airpods-pro-2nd-generation-1267657362/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=5,"https://www.apple.com/sg/airpods-pro/Description

AirPods Pro feature up to 2x more Active Noise Cancellation, plus Adaptive Transparency, and Personalised Spatial Audio with dynamic head tracking for immersive sound. Now with multiple ear tips (XS, S, M, L) and up to 6 hours of listening time.

Features & details

Active Noise Cancellation reduces unwanted background noise

Adaptive Transparency lets outside sounds in while reducing loud environmental noise

Personalised Spatial Audio with dynamic head tracking places sound all around you

Multiple ear tips (XS, S, M, L)

Sweat- and water-resistant for AirPods Pro and charging case

MagSafe Charging Case with speaker and lanyard loop

Up to 6 hours of listening time with Active Noise Cancellation on

Up to 30 hours of total listening time with the MagSafe Charging Case and Active Noise Cancellation on

Quick access to Siri by saying “Hey Siri”

Easy setup, in-ear detection and automatic switching between devices"
Apple Airpods Pro Gen 1,S$150,Well used,5 hours ago by,jwlau2106,https://www.carousell.sg/p/apple-airpods-pro-gen-1-1267653645/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=8,"Everything has been cleaned with 70% IPA
Out of warranty, used since Nov 2021.
Box still available, no cable only.
Case and airpods works fine.
Lots of scratches on the case.
Can provide serial number/more photos if needed.
RFS: Bought new airpods pro during black friday
Self collect/arrange delivery for $5 off"
AirPods Pro Gen 2/1 or AirPods 3/2/1 Case Tri-Protect Liquid Silicone Hard Air Pods Air Pod Cover,S$17.90,"S$3.00, within 4 working day(s)",an hour ago by,starzandmo60088,https://www.carousell.sg/p/airpods-pro-gen-2-1-or-airpods-3-2-1-case-tri-protect-liquid-silicone-hard-air-pods-air-pod-cover-1267687845/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=16,"Color : 
Black
Midnight Blue
Sky Blue
Pine Green
Lavender Gray
Pink
Vitellite
Light Purple
White
Ice Sea Blue
Forest Green

Model : 
AirPods Pro - Gen 2
AirPods Pro - Gen 1
AirPods 3
AirPods 1/2"
Airpods Gen 3 Case,S$8,Brand new,an hour ago by,missyenen,https://www.carousell.sg/p/airpods-gen-3-case-1267696355/?t-id=hMqx1pM71n_1700927034759&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=VxUCs4xXOowD1MWj&t-referrer_search_query=airpods&t-referrer_sort_by=&t-tap_index=9,Kirby & Snorlax AirPods Case
